spam,v2,v2clean,v2_clean,spam_clean,spam_clean_encoded
0,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,Ah poop Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,ah poop looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,ah poop look like ill prob send laptop fix cuz gpu problem,"[268, 1, 96, 13, 103, 453, 12, 629, 544, 953, 1, 187]"
0,Good. Good job. I like entrepreneurs,Good Good job I like entrepreneurs,good good job i like entrepreneurs,good good job like entrepreneur,"[11, 11, 161, 13, 1]"
0,"Aight, you close by or still down around alex's place?",Aight you close by or still down around alex's place,aight you close by or still down around alex's place,aight close alex place,"[236, 303, 904, 111]"
0,meet you in corporation st outside gap Û_ you can see how my mind is working!,meet you in corporation st outside gap Û you can see how my mind is working,meet you in corporation st outside gap û you can see how my mind is working,meet corporation st outside gap û mind work,"[50, 1, 587, 524, 746, 560, 189, 37]"
0,Mum ask Ì_ to buy food home...,Mum ask Ì to buy food home,mum ask ì to buy food home,mum ask ì buy food home,"[423, 38, 43, 88, 347, 23]"
0,K..u also dont msg or reply to his msg..,Ku also dont msg or reply to his msg,ku also dont msg or reply to his msg,ku msg reply msg,"[1, 70, 25, 70]"
0,How much r Ì_ willing to pay?,How much r Ì willing to pay,how much r ì willing to pay,r ì willing pay,"[27, 43, 1, 150]"
0,"Sorry, I'll call later",Sorry I'll call later,sorry i'll call later,sorry later,"[28, 36]"
0,What is important is that you prevent dehydration by giving her enough fluids,What is important is that you prevent dehydration by giving her enough fluids,what is important is that you prevent dehydration by giving her enough fluids,important prevent dehydration fluid,"[309, 1, 1, 1]"
0,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",Thats a bit weird even  where is the do supposed to be happening But good idea sure they will be in pub,thats a bit weird even  where is the do supposed to be happening but good idea sure they will be in pub,s bit weird   suppose happen good idea sure pub,"[47, 166, 1, 552, 143, 11, 692, 99, 444]"
0,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,True deari sat to pray evening and felt soso i sms'd you in some time,true deari sat to pray evening and felt soso i sms'd you in some time,true deari sit pray evening feel soso sms'd time,"[321, 1, 163, 717, 276, 64, 1, 1, 16]"
0,"I don't think I can get away for a trek that long with family in town, sorry",I don't think I can get away for a trek that long with family in town sorry,i don't think i can get away for a trek that long with family in town sorry,think away trek long family town sorry,"[20, 325, 1, 142, 387, 300, 28]"
0,So when do you wanna gym harri,So when do you wanna gym harri,so when do you wanna gym harri,wanna gym harri,"[199, 640, 1]"
0,Quite late lar... Ard 12 anyway i wun b drivin...,Quite late lar Ard 12 anyway i wun b drivin,quite late lar ard 12 anyway i wun b drivin,late lar ard 12 wun b drivin,"[67, 196, 370, 533, 948, 110, 1]"
1,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",To review and KEEP the fantastic Nokia NGage game deck with Club Nokia go 2 wwwcnupdatescomnewsletter unsubscribe from alerts reply with the word OUT,to review and keep the fantastic nokia ngage game deck with club nokia go 2 wwwcnupdatescomnewsletter unsubscribe from alerts reply with the word out,review fantastic nokia ngage game deck club nokia 2 wwwcnupdatescomnewsletter unsubscribe alert reply word,"[1, 747, 100, 1, 271, 1, 401, 100, 3, 1, 418, 1, 25, 122]"
1,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,4mths half price Orange line rental  latest camera phones 4 FREE Had your phone 11mths Call MobilesDirect free on 08000938767 to update now or2stoptxt TCs,4mths half price orange line rental  latest camera phones 4 free had your phone 11mths call mobilesdirect free on 08000938767 to update now or2stoptxt tcs,4mths half price orange line rental   late camera phone 4 free phone 11mths mobilesdirect free 08000938767 update or2stoptxt tcs,"[1, 198, 314, 263, 156, 637, 67, 207, 33, 6, 10, 33, 790, 1, 10, 1, 327, 1, 358]"
0,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,Height of Confidence All the Aeronautics professors wer calld amp they wer askd 2 sit in an aeroplane Aftr they sat they wer told dat the plane ws made by their students Dey all hurried out of d plane Bt only 1 didnt move He saidif it is made by my students,height of confidence all the aeronautics professors wer calld amp they wer askd 2 sit in an aeroplane aftr they sat they wer told dat the plane ws made by their students dey all hurried out of d plane bt only 1 didnt move he saidif it is made by my students,height confidence aeronautic professor wer calld amp wer askd 2 sit aeroplane aftr sit wer tell dat plane ws student dey hurry d plane bt 1 saidif student,"[1, 1, 1, 1, 1, 1, 82, 1, 621, 3, 163, 1, 1, 163, 1, 19, 182, 1, 1, 909, 1, 810, 41, 1, 348, 77, 1, 909]"
0,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,it just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,like weird timing night g want come smoke day shitstorm attribute come smoke,"[13, 1, 1, 45, 278, 14, 5, 319, 15, 1, 1, 5, 319]"
1,08714712388 between 10am-7pm Cost 10p,08714712388 between 10am7pm Cost 10p,08714712388 between 10am7pm cost 10p,08714712388 10am7pm cost 10p,"[1, 1, 190, 542]"
0,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",Save yourself the stress If the person has a dorm account just send your account details and the money will be sent to you,save yourself the stress if the person has a dorm account just send your account details and the money will be sent to you,save stress person dorm account send account detail money send,"[504, 1, 147, 1, 178, 12, 178, 299, 121, 12]"
0,He also knows about lunch menu only da. . I know,He also knows about lunch menu only da  I know,he also knows about lunch menu only da  i know,know lunch menu da   know,"[7, 159, 961, 39, 7]"
0,When i have stuff to sell i.ll tell you,When i have stuff to sell ill tell you,when i have stuff to sell ill tell you,stuff sell ill tell,"[154, 460, 103, 19]"
1,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,449071512431 URGENT This is the 2nd attempt to contact UU have WON å1250 CALL 09071512433 b4 050703 TCsBCM4235WC1N3XX callcost 150ppm mobilesvary maxå7 50,449071512431 urgent this is the 2nd attempt to contact uu have won å1250 call 09071512433 b4 050703 tcsbcm4235wc1n3xx callcost 150ppm mobilesvary maxå7 50,449071512431 urgent 2nd attempt contact uu win å1250 09071512433 b4 050703 tcsbcm4235wc1n3xx callcost 150ppm mobilesvary maxå7 50,"[1, 109, 266, 337, 92, 1, 30, 1, 1, 561, 1, 1, 1, 228, 1, 1, 800]"
0,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,Book which lesson then you msg me I will call up after work or sth I'm going to get specs My membership is PX3748,book which lesson then you msg me i will call up after work or sth i'm going to get specs my membership is px3748,book lesson msg work sth spec membership px3748,"[200, 302, 70, 37, 1, 1, 1, 1]"
1,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,You have WON a guaranteed å1000 cash or a å2000 prize To claim yr prize call our customer service representative on 08714712394 between 10am7pm,you have won a guaranteed å1000 cash or a å2000 prize to claim yr prize call our customer service representative on 08714712394 between 10am7pm,win guarantee å1000 cash å2000 prize claim yr prize customer service representative 08714712394 10am7pm,"[30, 141, 218, 89, 260, 68, 46, 397, 68, 117, 87, 711, 1, 1]"
0,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,Macha dont feel upseti can assume your mindsetbelieve me one evening with me and i have some wonderful plans for both of usLET LIFE BEGIN AGAINcall me anytime,macha dont feel upseti can assume your mindsetbelieve me one evening with me and i have some wonderful plans for both of uslet life begin againcall me anytime,macha feel upseti assume mindsetbelieve evening wonderful plan uslet life begin againcall anytime,"[1, 64, 1, 1, 1, 276, 500, 123, 1, 84, 958, 1, 486]"
0,Oh is it? Send me the address,Oh is it Send me the address,oh is it send me the address,oh send address,"[55, 12, 377]"
0,S'fine. Anytime. All the best with it.,S'fine Anytime All the best with it,s'fine anytime all the best with it,s'fine anytime good,"[1, 486, 11]"
0,That is wondar full flim.,That is wondar full flim,that is wondar full flim,wondar flim,"[1, 1]"
0,Ya even those cookies have jelly on them,Ya even those cookies have jelly on them,ya even those cookies have jelly on them,ya cookie jelly,"[124, 1, 1]"
0,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",The world is running and i am stillmaybe all are feeling the sameso be itor i have to admiti am madthen where is the correctionor let me call this is lifeand keep running with the worldmay be u r also runninglets run,the world is running and i am stillmaybe all are feeling the sameso be itor i have to admiti am madthen where is the correctionor let me call this is lifeand keep running with the worldmay be u r also runninglets run,world run stillmaybe feel sameso itor admiti madthen correctionor let lifeand run worldmay u r runninglet run,"[206, 202, 1, 64, 1, 1, 1, 1, 1, 74, 1, 202, 1, 2, 27, 1, 202]"
0,Got it! It looks scrumptious... daddy wants to eat you all night long!,Got it It looks scrumptious daddy wants to eat you all night long,got it it looks scrumptious daddy wants to eat you all night long,look scrumptious daddy want eat night long,"[96, 1, 901, 14, 127, 45, 142]"
0,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,Of cos can lar i'm not so ba dao ok 1 pm lor Y u never ask where we go ah I said u would ask on fri but he said u will ask today,of cos can lar i'm not so ba dao ok 1 pm lor y u never ask where we go ah i said u would ask on fri but he said u will ask today,cos lar ba dao ok 1 pm lor y u ask ah u ask fri u ask today,"[91, 196, 1, 1, 8, 77, 332, 24, 176, 2, 38, 268, 2, 38, 525, 2, 38, 29]"
0,"Alright omw, gotta change my order to a half8th",Alright omw gotta change my order to a half8th,alright omw gotta change my order to a half8th,alright omw change order half8th,"[342, 1, 235, 317, 1]"
0,Exactly. Anyways how far. Is jide her to study or just visiting,Exactly Anyways how far Is jide her to study or just visiting,exactly anyways how far is jide her to study or just visiting,exactly anyways far jide study visit,"[1, 1, 487, 1, 529, 495]"
0,Dunno y u ask me.,Dunno y u ask me,dunno y u ask me,dunno y u ask,"[262, 176, 2, 38]"
1,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,Email AlertFrom Jeri StewartSize 2KBSubject Lowcost prescripiton drvgsTo listen to email call 123,email alertfrom jeri stewartsize 2kbsubject lowcost prescripiton drvgsto listen to email call 123,email alertfrom jeri stewartsize 2kbsubject lowcost prescripiton drvgsto listen email 123,"[408, 1, 1, 1, 1, 1, 1, 1, 442, 408, 1]"
0,No he didn't. Spring is coming early yay!,No he didn't Spring is coming early yay,no he didn't spring is coming early yay,spring come early yay,"[1, 5, 149, 1]"
0,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,Lol you won't feel bad when I use her money to take you out to a steak dinner D,lol you won't feel bad when i use her money to take you out to a steak dinner d,lol feel bad use money steak dinner d,"[94, 64, 192, 158, 121, 1, 216, 41]"
0,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply,Even u dont get in trouble while convincingjust tel him once or twice and just tel neglect his msgs dont c and read itjust dont reply,even u dont get in trouble while convincingjust tel him once or twice and just tel neglect his msgs dont c and read itjust dont reply,u trouble convincingjust tel twice tel neglect msg c read itjust reply,"[2, 857, 1, 577, 1, 577, 1, 70, 81, 297, 1, 25]"
0,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh,Leaving to qatar tonite in search of an opportunityall went fastpls add me in ur prayers dearRakhesh,leaving to qatar tonite in search of an opportunityall went fastpls add me in ur prayers dearrakhesh,leave qatar tonite search opportunityall fastpls add ur prayer dearrakhesh,"[51, 1, 910, 360, 1, 1, 497, 4, 1, 1]"
0,Then why no one talking to me,Then why no one talking to me,then why no one talking to me,talk,[114]
0,Thanks for looking out for me. I really appreciate.,Thanks for looking out for me I really appreciate,thanks for looking out for me i really appreciate,thank look appreciate,"[66, 96, 872]"
1,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,Hi Customer Loyalty OfferThe NEW Nokia6650 Mobile from ONLY å10 at TXTAUCTION Txt word START to No 81151  get yours Now 4TCtxt TC 150pMTmsg,hi customer loyalty offerthe new nokia6650 mobile from only å10 at txtauction txt word start to no 81151  get yours now 4tctxt tc 150pmtmsg,hi customer loyalty offerthe new nokia6650 mobile å10 txtauction txt word start 81151   4tctxt tc 150pmtmsg,"[40, 117, 979, 1, 34, 1, 31, 1, 1, 22, 122, 105, 1, 1, 274, 1]"
0,Wish i were with you now!,Wish i were with you now,wish i were with you now,wish,[102]
0,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.,Haha mayb u're rite U know me well Da feeling of being liked by someone is gd lor U faster go find one then all gals in our group attached liao,haha mayb u're rite u know me well da feeling of being liked by someone is gd lor u faster go find one then all gals in our group attached liao,haha mayb u're rite u know da feeling like gd lor u fast find gal group attach liao,"[148, 604, 1, 424, 2, 7, 39, 1, 13, 498, 24, 2, 386, 71, 562, 1, 1, 221]"
0,Yes i will be there. Glad you made it.,Yes i will be there Glad you made it,yes i will be there glad you made it,yes glad,"[75, 748]"
0,Do well :)all will for little time. Thing of good times ahead:,Do well all will for little time Thing of good times ahead,do well all will for little time thing of good times ahead,little time thing good time ahead,"[269, 16, 54, 11, 16, 945]"
0,Just got up. have to be out of the room very soon. Û_. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.,Just got up have to be out of the room very soon Û i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7 wahay another hour in bed,just got up have to be out of the room very soon û i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7 wahay another hour in bed,room soon û clock til 8 shout realise 7 wahay hour bed,"[193, 112, 560, 1, 318, 372, 1, 1, 264, 1, 134, 244]"
0,Ok. There may be a free gym about.,Ok There may be a free gym about,ok there may be a free gym about,ok free gym,"[8, 10, 640]"
0,Men like shorter ladies. Gaze up into his eyes.,Men like shorter ladies Gaze up into his eyes,men like shorter ladies gaze up into his eyes,man like short lady gaze eye,"[128, 13, 567, 688, 1, 643]"
0,Dunno he jus say go lido. Same time 930.,Dunno he jus say go lido Same time 930,dunno he jus say go lido same time 930,dunno ju lido time 930,"[262, 248, 1, 16, 1]"
0,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!",I promise to take good care of you princess I have to run now Please send pics when you get a chance Ttyl,i promise to take good care of you princess i have to run now please send pics when you get a chance ttyl,promise good care princess run send pic chance ttyl,"[564, 11, 97, 254, 202, 12, 239, 183, 1]"
1,U are subscribed to the best Mobile Content Service in the UK for å£3 per 10 days until you send STOP to 82324. Helpline 08706091795,U are subscribed to the best Mobile Content Service in the UK for å3 per 10 days until you send STOP to 82324 Helpline 08706091795,u are subscribed to the best mobile content service in the uk for å3 per 10 days until you send stop to 82324 helpline 08706091795,u subscribe good mobile content service uk å3 10 day send stop 82324 helpline 08706091795,"[2, 1, 11, 31, 413, 87, 343, 1, 492, 15, 12, 26, 1, 1, 1]"
0,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,Is there a reason we've not spoken this year Anyways have a great week and all the best in your exam,is there a reason we've not spoken this year anyways have a great week and all the best in your exam,reason speak year anyways great week good exam,"[441, 157, 90, 1, 48, 35, 11, 484]"
0,By monday next week. Give me the full gist,By monday next week Give me the full gist,by monday next week give me the full gist,monday week gist,"[739, 35, 1]"
1,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?",Do you realize that in about 40 years we'll have thousands of old ladies running around with tattoos,do you realize that in about 40 years we'll have thousands of old ladies running around with tattoos,realize 40 year thousand old lady run tattoo,"[946, 807, 90, 1, 395, 688, 202, 1]"
1,You have an important customer service announcement from PREMIER.,You have an important customer service announcement from PREMIER,you have an important customer service announcement from premier,important customer service announcement premier,"[309, 117, 87, 1, 1]"
0,Dont gimme that lip caveboy,Dont gimme that lip caveboy,dont gimme that lip caveboy,gimme lip caveboy,"[1, 1, 1]"
0,When did you get to the library,When did you get to the library,when did you get to the library,library,[911]
0,Realy sorry-i don't recognise this number and am now confused :) who r u please?! ,Realy sorryi don't recognise this number and am now confused  who r u please ,realy sorryi don't recognise this number and am now confused  who r u please,realy sorryi recognise number confused   r u,"[1, 1, 1, 61, 1, 27, 2]"
0,So why didnt you holla?,So why didnt you holla,so why didnt you holla,holla,[1]
0,Cant think of anyone with * spare room off * top of my head,Cant think of anyone with  spare room off  top of my head,cant think of anyone with  spare room off  top of my head,think   spare room   head,"[20, 1, 193, 363]"
0,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",Faith makes things possibleHope makes things workLove makes things beautifulMay you have all three this ChristmasMerry Christmas,faith makes things possiblehope makes things worklove makes things beautifulmay you have all three this christmasmerry christmas,faith thing possiblehope thing worklove thing beautifulmay christmasmerry christmas,"[1, 54, 1, 54, 1, 54, 1, 1, 632]"
0,U should have made an appointment,U should have made an appointment,u should have made an appointment,u appointment,"[2, 1]"
0,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts",Call me when youcarlos isare here my phone's vibrate is acting up and I might not hear texts,call me when youcarlos isare here my phone's vibrate is acting up and i might not hear texts,youcarlo isare phone vibrate act hear text,"[1, 1, 33, 1, 1, 175, 18]"
1,"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply.",Romantic Paris 2 nights 2 flights from å79 Book now 4 next year Call 08704439680TsCs apply,romantic paris 2 nights 2 flights from å79 book now 4 next year call 08704439680tscs apply,romantic paris 2 night 2 flight å79 book 4 year 08704439680tsc apply,"[1, 1, 3, 45, 3, 772, 1, 200, 6, 90, 1, 232]"
0,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",We are at grandmas Oh dear u still ill I felt Shit this morning but i think i am just hungover Another night then We leave on sat,we are at grandmas oh dear u still ill i felt shit this morning but i think i am just hungover another night then we leave on sat,grandmas oh dear u ill feel shit morning think hungover night leave sit,"[1, 55, 53, 2, 103, 64, 214, 85, 20, 1, 45, 51, 163]"
1,Urgent Ur å£500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 å£1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,Urgent Ur å500 guaranteed award is still unclaimed Call 09066368327 NOW closingdate040902 claimcode M39M51 å150pmmorefrommobile2BremovedMobyPOBox734LS27YF,urgent ur å500 guaranteed award is still unclaimed call 09066368327 now closingdate040902 claimcode m39m51 å150pmmorefrommobile2bremovedmobypobox734ls27yf,urgent ur å500 guarantee award unclaimed 09066368327 closingdate040902 claimcode m39m51 å150pmmorefrommobile2bremovedmobypobox734ls27yf,"[109, 4, 422, 141, 107, 1, 1, 1, 1, 1, 1]"
0,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,Nothing but we jus tot u would ask cos u ba gua But we went mt faber yest Yest jus went out already mah so today not going out Jus call lor,nothing but we jus tot u would ask cos u ba gua but we went mt faber yest yest jus went out already mah so today not going out jus call lor,ju tot u ask cos u ba gua mt faber yest yest ju mah today ju lor,"[248, 384, 2, 38, 91, 2, 1, 1, 1, 1, 1, 1, 248, 572, 29, 248, 24]"
0,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance..""",Wishing you and your family Merry X mas and HAPPY NEW Year in advance,wishing you and your family merry x mas and happy new year in advance,wish family merry x mas happy new year advance,"[102, 387, 791, 145, 1, 59, 34, 90, 1]"
1,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub,UR awarded a City Break and could WIN a å200 Summer Shopping spree every WK Txt STORE to 88039  SkilGme TsCs087147403231WinawkAge16 å150perWKsub,ur awarded a city break and could win a å200 summer shopping spree every wk txt store to 88039  skilgme tscs087147403231winawkage16 å150perwksub,ur award city break win å200 summer shopping spree wk txt store 88039   skilgme tscs087147403231winawkage16 å150perwksub,"[4, 107, 1, 333, 30, 787, 749, 598, 1, 331, 22, 644, 1, 1, 1, 1]"
0,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",I'm nt goin got somethin on unless they meetin 4 dinner lor Haha i wonder who will go tis time,i'm nt goin got somethin on unless they meetin 4 dinner lor haha i wonder who will go tis time,goin somethin meetin 4 dinner lor haha wonder tis time,"[388, 1, 1, 6, 216, 24, 148, 338, 1, 16]"
0,"Sorry, I'll call later",Sorry I'll call later,sorry i'll call later,sorry later,"[28, 36]"
0,I cant pick the phone right now. Pls send a message,I cant pick the phone right now Pls send a message,i cant pick the phone right now pls send a message,pick phone right pls send message,"[72, 33, 69, 58, 12, 60]"
0,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.,Lol I know They're so dramatic Schools already closed for tomorrow Apparently we can't drive in the inch of snow were supposed to get,lol i know they're so dramatic schools already closed for tomorrow apparently we can't drive in the inch of snow were supposed to get,lol know dramatic school close tomorrow apparently drive inch snow suppose,"[94, 7, 1, 275, 303, 73, 1, 195, 1, 558, 552]"
0,Not getting anywhere with this damn job hunting over here!,Not getting anywhere with this damn job hunting over here,not getting anywhere with this damn job hunting over here,damn job hunting,"[1, 161, 1]"
0,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,Lol U drunkard Just doing my hair at d moment Yeah still up 4 tonight Wats the plan ,lol u drunkard just doing my hair at d moment yeah still up 4 tonight wats the plan,lol u drunkard hair d moment yeah 4 tonight wat plan,"[94, 2, 1, 329, 41, 586, 76, 6, 115, 57, 123]"
0,"idc get over here, you are not weaseling your way out of this shit twice in a row",idc get over here you are not weaseling your way out of this shit twice in a row,idc get over here you are not weaseling your way out of this shit twice in a row,idc weasele way shit twice row,"[1, 1, 65, 214, 1, 1]"
0,I wil be there with in  &lt;#&gt;  minutes. Got any space,I wil be there with in  ltgt  minutes Got any space,i wil be there with in  ltgt  minutes got any space,wil   ltgt   minute space,"[435, 9, 137, 912]"
0,Just sleeping..and surfing,Just sleepingand surfing,just sleepingand surfing,sleepingand surf,"[1, 1]"
0,Thanks for picking up the trash.,Thanks for picking up the trash,thanks for picking up the trash,thank pick trash,"[66, 72, 1]"
0,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke,tell friend sure want live smoke spend hour beg come smoke,"[19, 62, 99, 14, 130, 319, 375, 134, 1, 5, 319]"
0,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\""""",Hi its Kate it was lovely to see you tonight and ill phone you tomorrow I got to sing and a guy gave me his card xxx,hi its kate it was lovely to see you tonight and ill phone you tomorrow i got to sing and a guy gave me his card xxx,hi kate lovely tonight ill phone tomorrow sing guy card xxx,"[40, 676, 530, 115, 103, 33, 73, 1, 113, 438, 242]"
0,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola,Happy New year my dear brother I really do miss you Just got your number and decided to send you this text wishing you only happiness Abiola,happy new year my dear brother i really do miss you just got your number and decided to send you this text wishing you only happiness abiola,happy new year dear brother miss number decide send text wish happiness abiola,"[59, 34, 90, 53, 392, 42, 61, 294, 12, 18, 102, 599, 666]"
0,That means get the door,That means get the door,that means get the door,mean door,"[116, 691]"
0,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,Your opinion about me 1 Over 2 Jada 3 Kusruthi 4 Lovable 5 Silent 6 Spl character 7 Not matured 8 Stylish 9 Simple Pls reply,your opinion about me 1 over 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 not matured 8 stylish 9 simple pls reply,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 mature 8 stylish 9 simple pls reply,"[742, 77, 3, 1, 93, 1, 6, 716, 162, 806, 225, 1, 998, 264, 1, 372, 1, 255, 407, 58, 25]"
0,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?",Hmmm  I thought we said 2 hours slave not 3  You are late  How should I punish you ,hmmm  i thought we said 2 hours slave not 3  you are late  how should i punish you,hmmm   think 2 hour slave 3   late   punish,"[779, 20, 3, 134, 913, 93, 67, 1]"
0,Beerage?,Beerage,beerage,beerage,[1]
1,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,You have an important customer service announcement from PREMIER Call FREEPHONE 0800 542 0578 now,you have an important customer service announcement from premier call freephone 0800 542 0578 now,important customer service announcement premier freephone 0800 542 0578,"[309, 117, 87, 1, 1, 867, 569, 1, 1]"
0,Dont think so. It turns off like randomlly within 5min of opening,Dont think so It turns off like randomlly within 5min of opening,dont think so it turns off like randomlly within 5min of opening,think turn like randomlly 5min opening,"[20, 565, 13, 1, 1, 1]"
0,"She was supposed to be but couldn't make it, she's still in town though",She was supposed to be but couldn't make it she's still in town though,she was supposed to be but couldn't make it she's still in town though,suppose town,"[552, 300]"
0,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,It does it on its own Most of the time it fixes my spelling But sometimes it gets a completely diff word Go figure,it does it on its own most of the time it fixes my spelling but sometimes it gets a completely diff word go figure,time fix spelling completely diff word figure,"[16, 544, 1, 778, 1, 122, 584]"
1,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),Ever thought about living a good life with a perfect partner Just txt back NAME and AGE to join the mobile community 100pSMS,ever thought about living a good life with a perfect partner just txt back name and age to join the mobile community 100psms,think live good life perfect partner txt age join mobile community 100psm,"[20, 130, 11, 84, 1, 1, 22, 430, 219, 31, 1, 1]"
1,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, å£3 per pole. UnSub 08718727870.",5 Free Top Polyphonic Tones call 087018728737 National Rate Get a toppoly tune sent every week just text SUBPOLY to 81618 å3 per pole UnSub 08718727870,5 free top polyphonic tones call 087018728737 national rate get a toppoly tune sent every week just text subpoly to 81618 å3 per pole unsub 08718727870,5 free polyphonic tone 087018728737 national rate toppoly tune send week text subpoly 81618 å3 pole unsub 08718727870,"[162, 10, 1, 95, 1, 612, 246, 1, 1, 12, 35, 18, 1, 1, 1, 1, 1, 1]"
0,Gud mrng dear hav a nice day,Gud mrng dear hav a nice day,gud mrng dear hav a nice day,gud mrng dear hav nice day,"[131, 540, 53, 308, 120, 15]"
0,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,This is hoping you enjoyed your game yesterday Sorry i've not been in touch but pls know that you are fondly bein thot off Have a great week Abiola,this is hoping you enjoyed your game yesterday sorry i've not been in touch but pls know that you are fondly bein thot off have a great week abiola,hope enjoy game yesterday sorry touch pls know fondly bein thot great week abiola,"[44, 171, 271, 344, 28, 399, 58, 7, 1, 1, 1, 48, 35, 666]"
